0,Country,Region,HarvestYear,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Cupper.Points,Total.Cup.Points,Moisture,Color,altitude_high_meters,altitude_mean_meters,unit_of_measurement,Processing.Method,
234,Taiwan,"nanxi dist., tainan city 臺南市楠西區",2016,7.58,7.67,7.67,7.67,7.75,7.83,7.92,84.08,0.1,Bluish-Green,968,968,m,Washed / Wet,
236,Colombia,huila,2014,7.92,7.75,7.67,7.75,7.67,7.67,7.67,84.08,0,,1950,1775,m,Washed / Wet,
237,Guatemala,"aldea xeucalvitz, ixil region, quiche department",2014,7.58,7.75,7.67,8,7.75,7.67,7.67,84.08,0.1,Bluish-Green,1550,1550,m,Washed / Wet,
238,US-Hawaii,kona,2012,7.83,7.75,7.83,7.83,7.42,8.08,8,84.08,0.11,Green,130,130,m,Natural / Dry,
239,Mexico,santo domingo cacalotepec,2012,7.67,7.75,7.67,7.75,7.67,7.75,7.83,84.08,0.11,Green,1480,1480,m,Washed / Wet,
240,Ethiopia,"ethiopia, sidamo",2012,7.92,7.92,7.83,8,7.92,7.92,7.92,84.08,0.09,,1800,1800,m,Natural / Dry,
242,Ethiopia,sidamo,2017,7.83,7.75,7.67,7.75,7.33,7.75,7.92,84,0.11,Green,1800,1800,m,Natural / Dry,
243,Honduras,comayagua,2017,7.42,7.83,7.75,7.92,7.75,7.58,7.75,84,0.1,Green,1500,1500,m,Washed / Wet,
244,Guatemala,huehuetenango,2015,7.67,7.83,7.58,7.92,7.75,7.67,7.58,84,0.12,Green,1755.648,1706.88,ft,Washed / Wet,
245,Colombia,huila,2014/2015,7.67,7.67,7.83,7.58,7.58,7.83,7.83,84,0.11,Green,1600,1600,m,Washed / Wet,
246,Guatemala,oriente,2014,7.92,7.67,7.42,7.92,7.75,7.83,7.5,84,0.1,Green,1219.2,1219.2,ft,Natural / Dry,
247,Guatemala,oriente,2014,7.75,7.83,7.5,7.83,7.58,7.67,7.83,84,0.1,Green,1219.2,1219.2,ft,Other,
248,Colombia,huila,2014,7.67,7.75,7.67,7.67,7.67,7.75,7.83,84,0.12,Green,1480,1480,m,Washed / Wet,
249,Colombia,santander,2014,7.58,7.42,7.75,7.92,7.75,7.92,7.67,84,0.12,Green,1450,1450,m,Natural / Dry,
250,Colombia,huila,2014,7.67,7.67,7.5,7.5,7.67,7.67,8.33,84,0.12,Green,1950,1775,m,Washed / Wet,
251,Ethiopia,sidamo,2013,7.75,7.75,7.5,7.58,7.67,7.92,7.83,84,0.09,Green,1550,1550,m,Natural / Dry,
252,Brazil,south of minas,2013/2014,7.58,7.83,7.67,7.25,8,7.75,7.92,84,0.1,Green,1260,1260,m,Natural / Dry,
253,Colombia,cauca,2013,7.67,7.83,7.67,7.75,7.67,7.75,7.67,84,0.11,Green,1700,1700,m,Washed / Wet,
254,Kenya,blend,2012,7.67,7.83,7.5,7.75,7.92,7.67,7.67,84,0,Green,1200,1200,m,Washed / Wet,
256,Kenya,central kenya,2012,7.67,7.75,7.67,7.75,7.83,7.67,7.67,84,0,Bluish-Green,1650,1650,m,Washed / Wet,
257,Uganda,kasese,2012,7.92,7.75,7.58,7.67,7.67,7.83,7.58,84,0.1,Green,1700,1700,m,Washed / Wet,
259,Brazil,south of minas,2017 / 2018,7.5,7.75,7.58,7.5,7.58,7.5,8.5,83.92,0,Green,890,890,m,Natural / Dry,
260,Mexico,veracruz,2017,7.83,7.83,7.58,7.92,7.42,7.5,7.83,83.92,0.11,Green,1300,1300,m,Washed / Wet,
261,Thailand,chiangrai,2015,7.67,7.75,7.5,7.67,7.67,7.83,7.83,83.92,0.1,Bluish-Green,1350,1350,m,Natural / Dry,
262,Brazil,south of minas,2016,7.58,7.67,7.67,7.75,7.58,7.83,7.83,83.92,0.11,Green,934,934,m,Natural / Dry,
263,Taiwan,"leye, alishan township, chiayi county 嘉義阿里山樂野村",2015,7.83,7.75,7.83,7.75,7.83,7.75,7.83,83.92,0.11,Green,1200,1200,m,Washed / Wet,
264,Colombia,huila,2016,7.75,7.67,7.5,7.75,7.83,7.75,7.67,83.92,0.11,Green,442,442,m,,
269,Colombia,huila,2014,7.75,7.58,7.67,7.83,7.83,7.67,7.58,83.92,0,Green,1950,1775,m,Washed / Wet,
270,Taiwan,台中和平區,2014,8,7.92,7.92,7.92,7.67,7.33,7.17,83.92,0.06,Green,950,950,m,Washed / Wet,
271,Colombia,santander,2014,7.67,7.83,7.67,7.75,7.67,7.83,7.5,83.92,0.12,Green,1550,1550,m,Natural / Dry,
272,Mexico,xicotepec de juarez,2012,7.67,7.75,7.58,7.67,7.75,7.83,7.67,83.92,0.12,Blue-Green,900,900,m,Washed / Wet,
273,Mexico,la concordia,2012,7.5,7.67,7.58,7.83,7.75,7.75,7.83,83.92,0.11,,1500,1500,m,Washed / Wet,
274,Mexico,la yerbabuena,2012,7.75,7.92,7.83,7.92,7.75,7.67,7.75,83.92,0,Green,1400,1400,m,Washed / Wet,
275,Colombia,nariño,2017,7.92,7.58,7.5,7.83,7.58,7.67,7.75,83.83,0,Green,2527,2527,m,Washed / Wet,
277,CostaRica,tarrazu,2015,7.67,7.67,7.75,7.67,7.5,7.75,7.83,83.83,0,Blue-Green,1850,1850,m,Washed / Wet,
278,Guatemala,antigua,2016,7.75,7.75,7.5,7.75,7.83,7.58,7.67,83.83,0.11,Green,1500,1500,m,Washed / Wet,
279,Taiwan,台灣,2016,7.75,7.67,7.5,7.75,7.75,7.67,7.75,83.83,0,,1200,1200,m,,
280,Brazil,south of minas,2015/2016,7.25,7.58,7.42,8,7.75,7.83,8,83.83,0,Green,1,1,m,Natural / Dry,
281,Taiwan,"dongshan dist., tainan city 臺南市東山區",2014,7.67,7.75,7.67,7.75,7.42,7.75,7.83,83.83,0,Green,570,525,m,Washed / Wet,
282,Ethiopia,oromia,2014,7.75,7.75,7.67,7.67,7.58,7.67,7.75,83.83,0.12,Green,1703,1676.5,m,Natural / Dry,
283,Brazil,south of minas,2014/2015,7.67,7.67,7.58,7.5,7.83,8.17,8.08,83.83,0,Green,1200,1200,m,Semi-washed / Semi-pulped,
284,CostaRica,central valley,2013,7.83,7.42,7.5,7.83,7.75,7.83,7.67,83.83,0.1,Green,1400,1300,m,Washed / Wet,
285,Guatemala,oriente,2014,7.58,7.83,7.33,8,7.58,7.75,7.75,83.83,0.1,Green,1219.2,1219.2,ft,Washed / Wet,
286,Brazil,south of minas,2013/2014,7.92,7.5,7.33,7.67,8.17,7.5,7.75,83.83,0.1,Green,1260,1260,m,Natural / Dry,
287,Other,"province of manabi, ecuador",2013,7.5,7.67,7.58,7.75,7.83,7.83,7.67,83.83,0.09,Bluish-Green,800,800,m,Natural / Dry,
288,Colombia,huila,2013,7.67,7.58,7.58,7.83,7.58,7.67,7.92,83.83,0.11,Green,1750,1750,m,Washed / Wet,
289,Guatemala,oriente,2013,7.5,7.83,7.5,7.83,7.83,7.67,7.67,83.83,0.11,Green,1310.64,1310.64,ft,Washed / Wet,
290,Mexico,petatlan,2012,7.67,8,7.67,7.42,7.67,7.5,7.92,83.83,0.1,Green,1218,1218,m,Natural / Dry,
291,Mexico,"la concordia, chiapas",2012,7.67,7.58,7.5,7.75,7.75,7.75,7.83,83.83,0.11,,1300,1300,m,Natural / Dry,
292,Brazil,carmo de minas,2011/2012,7.83,7.83,7.58,7.67,7.5,7.58,7.83,83.83,0.12,Green,1250,1250,m,Semi-washed / Semi-pulped,
293,Thailand,"doi chaang village, chiang rai, thialand",2011,7.75,7.75,7.58,8,7.67,7.58,7.5,83.83,0.02,,1499.9208,1499.9208,ft,,
296,Kenya,nyeri,,7.75,7.58,7.5,7.58,7.75,7.75,7.83,83.75,0.11,Green,1800,1800,m,Washed / Wet,
297,Brazil,south of minas,2017 / 2018,7.67,7.67,7.58,7.75,7.67,7.67,7.75,83.75,0.11,Green,890,890,m,Natural / Dry,
298,Colombia,huila,2017,7.83,7.83,7.58,7.58,7.58,7.58,7.75,83.75,0.11,Green,442,442,m,Washed / Wet,
299,Taiwan,"台南市東山區 (dongshan dist., tainan city)",2016,7.67,7.67,7.58,7.58,7.67,7.83,7.75,83.75,0,Green,750,750,m,Natural / Dry,
301,China,yunnan,2015,7.83,7.75,7.67,7.5,7.58,7.67,7.75,83.75,0.1,Green,1650,1650,m,Washed / Wet,
302,Colombia,huila,2015/2016,7.75,7.67,7.5,7.67,7.58,7.83,7.75,83.75,0,Green,442,442,m,Natural / Dry,
303,Uganda,west nile,2013,8,7.92,7.58,7.75,7.33,7.5,7.67,83.75,0.12,Green,1400,1400,m,Natural / Dry,
304,US,yauco region,2013,7.83,7.83,7.83,7.67,8,8.17,7.75,83.75,0.12,Green,853.44,853.44,ft,Washed / Wet,Green
305,Colombia,huila,2014,7.67,7.67,7.67,7.92,7.5,7.67,7.67,83.75,0,Green,1950,1775,m,Washed / Wet,
306,Colombia,huila,2014,7.67,7.42,7.42,7.42,8,8.33,7.5,83.75,0,Green,1600,1550,m,Washed / Wet,
307,Colombia,huila,2013,7.58,7.67,7.75,7.67,7.67,7.67,7.75,83.75,0,Blue-Green,1750,1750,m,Washed / Wet,
308,Colombia,huila,2013,7.75,7.67,7.75,7.58,7.42,8,7.58,83.75,0.11,Green,1750,1750,m,Washed / Wet,
309,US-Hawaii,kona,2013,7.25,7.42,7.67,7.58,7.83,8.25,7.75,83.75,0,Bluish-Green,130,130,m,Natural / Dry,
310,Mexico,"huazalingo, hidalgo",2012,7.83,7.58,7.58,7.5,7.75,7.67,7.83,83.75,0.13,None,700,700,m,Natural / Dry,
311,Guatemala,quetzaltenango,2012,7.67,7.58,7.58,7.67,7.75,7.75,7.75,83.75,0.11,Bluish-Green,1300,1300,m,Washed / Wet,
312,Colombia,cauca,January 2011,7.83,7.83,7.58,7.33,7.42,7.67,8.08,83.75,0.1,,1600,1600,m,,
313,Colombia,cundinamarca,4T/10,7.75,7.67,7.25,7.25,7.58,8.5,7.75,83.75,0.06,,1600,1600,m,,
314,US-Hawaii,kona,,7.83,7.67,7.75,7.67,7.58,7.5,7.75,83.75,0,,130,130,m,,
315,Brazil,south of minas,2017 / 2018,7.67,7.83,7.5,7.67,7.67,7.5,7.83,83.67,0.11,Green,890,890,m,Natural / Dry,
316,Kenya,meru county,2017,8.08,7.67,7.67,7.58,7.25,7.67,7.75,83.67,0.11,Bluish-Green,1700,1700,m,Washed / Wet,
317,Honduras,comayagua,2016,7.5,7.5,7.67,7.67,8,8,7.33,83.67,0.1,Green,1400,1400,m,Washed / Wet,
318,Nicaragua,jinotega,2016,7.67,7.75,7.67,7.67,7.83,7.58,7.5,83.67,0.1,Green,1250,1250,m,Washed / Wet,
319,Brazil,south of minas,2016,7.58,7.75,7.58,7.75,7.58,7.58,7.83,83.67,0.11,Green,934,934,m,Natural / Dry,
320,Taiwan,"leye, alishan township, chiayi county",2015,7.5,7.67,7.33,7.92,7.83,7.67,7.75,83.67,0.1,Bluish-Green,1200,1200,m,Natural / Dry,
321,CostaRica,west valley,,7.33,7.67,7.67,7.5,7.67,7.5,8.33,83.67,0.11,Blue-Green,1350,1350,m,,
322,Thailand,thailand,2014,7.5,7.75,7.58,7.83,7.67,7.58,7.75,83.67,0.12,Bluish-Green,800,800,m,Washed / Wet,
323,Colombia,huila,2014/2015,7.5,7.75,7.5,7.75,7.67,7.67,7.83,83.67,0.11,,1700,1625,m,Washed / Wet,
324,Guatemala,huehuetenango,2014,8,7.5,7.33,8,8,8,7.5,83.67,0.1,Green,1356.6648,1356.6648,ft,Washed / Wet,
325,Colombia,huila supremo,2013,7.83,7.75,7.67,7.58,7.58,7.67,7.58,83.67,0,Green,1750,1750,m,Washed / Wet,
326,Colombia,huila,2013,7.67,7.67,7.67,7.67,7.33,7.75,7.92,83.67,0,Green,2000,1900,m,Washed / Wet,
327,Guatemala,oriente,2013,7.67,7.67,7.42,7.67,8,7.75,7.5,83.67,0.12,Green,1310.64,1310.64,ft,Washed / Wet,
328,Guatemala,oriente,2013,7.83,7.67,7.33,7.67,7.67,7.83,7.67,83.67,0.11,Green,1310.64,1310.64,ft,Washed / Wet,
329,Colombia,huila,2012,7.75,7.75,7.58,7.83,7.17,7.75,7.83,83.67,0.11,Green,1750,1750,m,Washed / Wet,
330,Guatemala,oriente,2012,8.17,8.17,7.83,7.67,8.08,7.75,8,83.67,0.11,Green,1450,1450,m,Natural / Dry,
331,Guatemala,oriente,2012,7.67,8.17,7.5,7.42,7.58,7.83,7.5,83.67,0.11,Green,1310.64,1310.64,ft,Washed / Wet,
332,Mexico,xicotepec de juarez,2012,7.67,7.5,7.5,7.33,7.83,8.25,7.58,83.67,0.12,Green,1100,1100,m,Washed / Wet,
333,Indonesia,east java,2012,8.17,7.67,7.58,7.58,7.42,7.67,7.58,83.67,0.12,Green,1600,1400,m,Washed / Wet,
334,Guatemala,"sacatepequez, guatemala",2012,7.67,7.5,7.33,8,7.67,7.67,7.83,83.67,0.1,Green,1524,1524,ft,Washed / Wet,
335,US-Hawaii,,,7.75,8,7.92,8.08,7.75,8,8.17,83.67,0,,130,130,m,,
336,Brazil,south of minas,2017 / 2018,7.58,7.67,7.58,7.58,7.67,7.58,7.92,83.58,0.11,Green,890,890,m,Natural / Dry,
337,Guatemala,huehuetenango,2016,7.75,7.75,7.5,7.83,7.58,7.58,7.58,83.58,0.11,Green,1128.3696,1128.3696,ft,Washed / Wet,
339,China,yunnan,2015,7.67,7.58,7.58,7.58,7.67,7.75,7.75,83.58,0.1,Green,1100,1100,m,Washed / Wet,
340,Colombia,huila,2015,7.67,7.75,7.58,7.67,7.75,7.58,7.58,83.58,0.12,Green,1950,1775,m,Washed / Wet,
341,Mexico,"chiapas, jaltenango",2014,7.75,7.75,7.58,7.58,7.5,7.67,7.75,83.58,0.12,Green,1200,1200,m,Washed / Wet,
342,Ethiopia,yirgacheffe,2014,7.75,7.67,7.58,7.67,7.5,7.67,7.75,83.58,0,,2000,1850,m,Washed / Wet,
343,Uganda,eastern,2013,7.67,7.67,7.42,7.75,7.75,7.67,7.67,83.58,0.12,Green,1800,1800,m,Washed / Wet,
344,Colombia,cundinamarca,2014,7.67,7.58,7.67,7.67,7.67,7.67,7.67,83.58,0,Green,1600,1600,m,Natural / Dry,
345,Colombia,santander,2014,7.67,7.58,7.67,7.58,7.67,7.75,7.67,83.58,0.12,Green,1550,1550,m,Washed / Wet,
346,Colombia,santander,2014,7.75,7.58,7.5,7.58,7.75,7.83,7.58,83.58,0,,1550,1550,m,Washed / Wet,
347,Taiwan,taichung xinshe 台中市新社區,2013/2014,7.75,7.75,7.75,7.75,7.5,7.58,7.5,83.58,0.11,Green,1000,1000,m,Other,
348,Colombia,huila,2012,7.67,7.67,7.58,7.67,7.75,7.58,7.67,83.58,0.11,Green,1950,1775,m,Washed / Wet,
349,Mexico,xalapa,2012,7.83,7.67,7.58,7.58,7.67,7.58,7.67,83.58,0.12,,1000,1000,m,Washed / Wet,
350,Colombia,cundinamarca,2012,7.67,7.58,7.58,7.58,7.67,7.75,7.75,83.58,0.11,Green,2136,2136,m,Natural / Dry,
351,Brazil,south of minas,2012,7.83,7.75,7.5,7.75,7.5,7.58,7.67,83.58,0.12,Blue-Green,1100,1100,m,Semi-washed / Semi-pulped,
352,Colombia,cundinamarca,2016,7.75,7.58,7.58,7.75,7.75,7.5,7.58,83.5,0,Bluish-Green,1799,1799,m,Washed / Wet,
354,CostaRica,tarrazu,2015,7.92,7.42,7.5,7.67,7.5,7.67,7.83,83.5,0,Blue-Green,1850,1850,m,Washed / Wet,
355,Colombia,pitalito,2016,7.75,7.58,7.58,7.5,7.75,7.75,7.58,83.5,0,Green,1000,1000,m,Natural / Dry,
356,Guatemala,oriente,2016,7.67,7.75,7.5,7.83,7.58,7.58,7.58,83.5,0.1,Bluish-Green,1219.2,1219.2,ft,Washed / Wet,
357,Colombia,huila,2015,7.58,7.58,7.58,7.58,7.75,7.67,7.75,83.5,0.12,Green,1950,1775,m,Washed / Wet,
358,Tanzania,nkure- meru,2015,7.75,7.67,7.58,7.67,7.67,7.58,7.58,83.5,0.13,Green,1400,1400,m,Washed / Wet,
359,Indonesia,bener meriah,2015,7.25,7.67,7.58,7.92,7.83,7.58,7.67,83.5,0.13,Bluish-Green,1500,1500,m,Semi-washed / Semi-pulped,
360,Ethiopia,oromia,2014,7.67,7.75,7.5,7.58,7.75,7.67,7.58,83.5,0.1,,1600,1600,m,Natural / Dry,
362,Colombia,huila,2014,8,7.58,7.25,7.58,7.92,7.58,7.58,83.5,0.11,Green,1850,1850,m,Washed / Wet,
363,Guatemala,atitlan,2013,7.58,7.75,7.5,7.83,7.42,7.67,7.75,83.5,0.1,Green,1400,1400,m,Washed / Wet,
364,Colombia,cundinamarca,2014,7.75,7.58,7.33,7.5,7.83,7.83,7.67,83.5,0,,1650,1650,m,Washed / Wet,
365,Honduras,comayagua,2014/2015,7.67,7.5,7.67,7.5,7.67,7.67,7.83,83.5,0.1,Green,1350,1350,m,Natural / Dry,
366,Colombia,huila,2013,7.58,7.75,7.42,7.67,7.75,7.67,7.67,83.5,0,Green,1750,1750,m,Washed / Wet,
367,Colombia,huila,2013,7.58,7.67,7.58,7.75,7.58,7.75,7.58,83.5,0.11,Green,1750,1750,m,Washed / Wet,
368,Mexico,xalapa,2012,7.83,7.58,7.25,7.5,7.5,7.42,8.42,83.5,0.13,Green,1170,1170,m,Natural / Dry,
369,Mexico,chilón,2012,7.67,7.75,7.67,7.75,7.58,7.5,7.58,83.5,0.11,Green,940,940,m,Semi-washed / Semi-pulped,
370,Mexico,totutla,2012,7.75,7.67,7.67,7.75,7.33,7.5,7.83,83.5,0.12,Green,1400,1400,m,Washed / Wet,
371,Guatemala,atitlan,2012,7.83,7.5,7.5,8,7.67,7.5,7.5,83.5,0.1,Green,1524,1524,ft,Washed / Wet,
372,Colombia,huila,2012,7.67,7.58,7.58,7.67,7.67,7.67,7.67,83.5,0.11,Green,1950,1775,m,Washed / Wet,
373,Guatemala,oriente,2012,7.5,7.5,7.75,7.5,8,7.67,7.58,83.5,0,Green,1402.08,1402.08,ft,Washed / Wet,
374,US-Hawaii,,,7.5,7.67,7.58,7.92,7.58,7.67,7.58,83.5,0.01,,130,130,m,,
375,Indonesia,bondowoso,23 July 2010,7.83,7.58,7.58,7.58,7.75,7.58,7.58,83.5,0,,1600,1600,m,,
376,Colombia,huila,2017 / 2018,7.5,7.58,7.58,7.5,7.75,7.83,7.67,83.42,0,Green,439,439,m,Washed / Wet,
377,Guatemala,san marcos,2017,7.67,7.75,7.5,7.58,7.58,7.67,7.67,83.42,0.1,Green,1700,1700,m,Washed / Wet,
378,Colombia,huila,2016,7.67,7.67,7.5,7.67,7.67,7.58,7.67,83.42,0.11,Green,442,442,m,Washed / Wet,
379,CostaRica,tarrazu,2016,7.58,7.5,7.42,7.92,7.5,7.67,7.83,83.42,0.09,Blue-Green,1850,1850,m,Washed / Wet,
381,Uganda,eastern,2015,7.58,7.75,7.33,7.75,7.67,7.58,7.75,83.42,0.11,Green,1800,1800,m,Washed / Wet,
382,Thailand,thailand,2015,7.5,7.58,7.75,7.5,7.75,7.67,7.67,83.42,0.13,Bluish-Green,1200,1200,m,Washed / Wet,
383,ElSalvador,apaneca,2016,7.58,7.5,7.75,7.58,7.75,7.67,7.58,83.42,0.11,,1330,1330,m,Washed / Wet,
384,Colombia,huila,2015,7.58,7.67,7.58,7.67,7.58,7.67,7.67,83.42,0.12,Green,442,442,m,Natural / Dry,
386,Tanzania,karatu northern,2014,7.75,7.67,7.58,7.67,7.58,7.58,7.58,83.42,0.13,Green,1600,1600,m,Washed / Wet,
387,Colombia,huila,2014/2015,7.58,7.58,7.25,7.75,7.75,8.58,7.58,83.42,0.12,Green,1813,1813,m,Washed / Wet,
388,Guatemala,oriente,2013,7.75,7.83,7.33,7.83,7.5,7.67,7.5,83.42,0.1,Green,1219.2,1219.2,ft,Natural / Dry,
389,Guatemala,antigua,2014,7.67,7.75,7.5,7.83,7.58,7.5,7.58,83.42,0.1,Green,1500,1500,m,Washed / Wet,
390,Guatemala,oriente,2013,7.67,7.5,7.75,7.42,7.75,7.75,7.58,83.42,0.11,Green,1310.64,1310.64,ft,Washed / Wet,
391,US-Hawaii,kona,2012,7.42,7.75,7.67,7.58,7.67,7.67,7.67,83.42,0,Green,130,130,m,Natural / Dry,
392,Colombia,cundinamarca,2012,7.5,7.75,7.58,7.5,7.67,7.75,7.67,83.42,0.11,Green,1450,1450,m,Washed / Wet,
394,US-Hawaii,kona,2010,7.5,7.92,7.42,7.67,7.83,7.58,7.5,83.42,0.01,,130,130,m,,
396,Mexico,nayarit,January Through April,7.25,7.88,7.38,7.63,7.5,8.75,8,83.38,0.09,,1200,1050,m,,
397,Colombia,huila,2016,7.75,7.5,7.75,7.58,7.58,7.58,7.58,83.33,0,,1650,1650,m,Washed / Wet,
400,Brazil,south of minas,2015/2016,7.5,7.83,7.33,7.58,7.58,7.92,7.58,83.33,0.1,Green,1227,1227,m,Semi-washed / Semi-pulped,
401,Mexico,chiapas,2014,7.75,7.75,7.5,7.67,7.5,7.58,7.58,83.33,0.12,Green,1200,1200,m,Washed / Wet,
402,Colombia,santander,2015,7.67,7.75,7.42,7.83,7.83,7.42,7.42,83.33,0.11,Green,1650,1650,m,Washed / Wet,
403,Tanzania,arusha,2014,7.75,7.58,7.67,7.58,7.58,7.58,7.58,83.33,0.12,Green,1700,1700,m,Semi-washed / Semi-pulped,
404,Mexico,veracruz,2013,7.67,7.67,7.58,7.67,7.5,7.58,7.67,83.33,0.12,Green,1100,1100,m,Washed / Wet,
405,CostaRica,san ramon,2014,7.67,7.67,7.42,7.67,7.67,7.67,7.58,83.33,0.12,Green,1300,1300,m,Washed / Wet,
406,US-Hawaii,kona,2014,7.83,7.58,7.83,7.67,7.92,8,7.83,83.33,0.11,Bluish-Green,130,130,m,Natural / Dry,
407,CostaRica,central valley,2013,7.5,7.67,7.67,7.5,7.83,7.17,8,83.33,0.11,Green,1300,1200,m,Washed / Wet,
409,Haiti,"thiotte, haiti",2012,7.58,7.5,7.67,7.5,7.83,7.42,7.83,83.33,0.11,Green,1280.16,1280.16,ft,Washed / Wet,
410,Colombia,pitalito,2013,7.67,7.67,7.5,7.67,7.92,7.42,7.5,83.33,0.11,Green,1000,1000,m,Natural / Dry,
411,Guatemala,oriente,2013,7.83,7.67,7.17,7.67,7.67,7.67,7.67,83.33,0.11,Green,1310.64,1310.64,ft,Washed / Wet,
412,US-Hawaii,kona,2012,7.92,7.5,7.58,7.83,7.67,7.67,7.83,83.33,0.1,Bluish-Green,130,130,m,Natural / Dry,
413,Other,kayanza,2012,7.75,7.67,7.33,7.5,7.5,7.75,7.83,83.33,0,,1880,1880,m,Washed / Wet,
414,Colombia,huila,2012,7.5,7.67,7.67,7.58,7.67,7.58,7.67,83.33,0,Green,1750,1750,m,Washed / Wet,
415,US-Hawaii,kona,,8.08,7.83,7.83,7.75,7.67,7.58,7.92,83.33,0.01,,130,130,m,,
416,US-Hawaii,,,7.58,7.67,7.58,7.5,7.83,7.67,7.5,83.33,0,,130,130,m,,
417,Mexico,sierra madre occidental,2017,7.67,7.83,7.42,7.83,7.33,7.5,7.67,83.25,0.11,Blue-Green,1600,1600,m,Washed / Wet,
418,CostaRica,tarrazu,2016,7.5,7.5,7.83,7.5,7.67,7.67,7.58,83.25,0.11,Green,1900,1900,m,Pulped natural / honey,
420,Guatemala,nuevo oriente,2016,7.5,7.58,7.42,7.83,7.67,7.58,7.67,83.25,0.11,Green,2100,2100,m,Washed / Wet,
423,Colombia,huila,2015/2016,7.58,7.67,7.67,7.17,7.75,7.83,7.58,83.25,0,Green,442,442,m,Natural / Dry,
424,Mexico,cuarenteño,2015,7.83,7.75,7.5,7.58,7.58,7.58,7.42,83.25,0.12,Bluish-Green,1261,1261,m,Natural / Dry,
425,Taiwan,natou county,2015,7.67,7.5,7.5,7.5,7.67,7.83,7.58,83.25,0.1,Blue-Green,1000,1000,m,Washed / Wet,
426,Taiwan,南投國姓,2014,7.92,7.83,7.75,7.58,7.5,7.33,7.33,83.25,0.1,Green,800,800,m,Washed / Wet,
427,Colombia,eje cafetero,2014,7.58,7.58,7.5,7.58,7.58,7.75,7.67,83.25,0,Green,1483,1483,m,Natural / Dry,
428,Guatemala,antigua,2014,7.5,7.67,7.58,7.67,7.67,7.5,7.67,83.25,0.1,Green,1500,1500,m,Washed / Wet,
429,Colombia,huila,2013,7.83,7.5,7.67,7.33,7.67,7.67,7.58,83.25,0.11,Green,1750,1750,m,Washed / Wet,
430,Mexico,chiapas,2013,7.58,7.75,7.5,7.5,7.58,7.58,7.75,83.25,0.12,Green,1300,1300,m,Washed / Wet,
431,US-Hawaii,kona,2012,7.58,7.75,7.83,8,8.08,7.67,7.67,83.25,0.11,Bluish-Green,130,130,m,Natural / Dry,
433,Mexico,fortín de las flores,2012,7.75,7.75,7.42,7.92,7.33,7.5,7.58,83.25,0.12,Blue-Green,1000,1000,m,Washed / Wet,
434,Guatemala,oriente,2012,7.83,7.58,7.08,7.83,7.42,8.08,7.42,83.25,0.11,Green,1310.64,1310.64,ft,Washed / Wet,
435,Brazil,grama valley,2012,7.75,7.67,7.5,7.58,7.58,7.58,7.58,83.25,0.11,Blue-Green,1200,1200,m,Semi-washed / Semi-pulped,
436,Colombia,huila,2012,7.67,7.58,7.58,7.42,7.83,7.58,7.58,83.25,0.12,Green,175,175,m,Washed / Wet,
437,Colombia,la plata,2012,7.67,7.67,7.5,7.5,7.58,7.67,7.67,83.25,0.11,Green,1950,1775,m,Washed / Wet,
438,Colombia,huila,1T/2011,7.92,7.75,7.25,7.42,7.83,7.58,7.5,83.25,0.08,,1800,1700,m,,
439,Colombia,cauca,4t/2010,8,7.67,7.67,7.25,7.67,7.5,7.5,83.25,0.13,,1880,1880,m,,
440,Colombia,cundinamarca,4T/2010,7.92,7.75,7.5,7.42,7.42,7.67,7.58,83.25,0.04,,1800,1800,m,,
441,Brazil,south of minas,2017 / 2018,7.67,7.42,7.5,7.58,7.67,7.58,7.75,83.17,0.11,Green,890,890,m,Natural / Dry,
442,Guatemala,oriente,2017,7.58,7.58,7.33,7.67,7.75,7.58,7.67,83.17,0.1,Green,1901,1901,m,Washed / Wet,
443,Tanzania,moshi,2016,7.67,7.58,7.42,7.67,7.67,7.58,7.58,83.17,0.12,Green,168,168,m,Washed / Wet,
445,Vietnam,dala,2017,7.58,7.42,7.08,7.33,7.58,8.58,7.58,83.17,0.07,None,1550,1550,m,Natural / Dry,
446,Guatemala,antigua,2016,7.67,7.75,7.42,7.75,7.58,7.5,7.5,83.17,0.11,Green,1500,1500,m,Washed / Wet,
447,Honduras,marcala,2016,7.67,7.67,7.5,7.67,7.5,7.67,7.5,83.17,0.11,Blue-Green,1450,1450,m,Washed / Wet,
448,China,yunnan,2015,7.5,7.67,7.33,7.67,7.67,7.67,7.67,83.17,0.11,Green,1200,1200,m,Washed / Wet,
449,China,dehong prefecture,2015,7.67,7.67,7.5,7.67,7.42,7.58,7.67,83.17,0.1,Green,1600,1600,m,Washed / Wet,
450,ElSalvador,apaneca,2016,7.5,7.5,7.33,7.67,8,7.67,7.5,83.17,0,Green,1350,1350,m,Washed / Wet,
451,Guatemala,antigua,2015,7.5,7.75,7.5,7.83,7.58,7.5,7.5,83.17,0.11,Green,1500,1500,m,Washed / Wet,
452,Guatemala,oriente,2015,7.92,7.67,7.42,7.75,7.5,7.5,7.42,83.17,0.12,Green,1900,1650,m,Washed / Wet,
453,Kenya,kenya,2014,7.83,7.75,7.67,7.75,7.83,8.5,7.83,83.17,0.1,Bluish-Green,500,250.5,m,Washed / Wet,
454,Thailand,thailand,2014,7.67,7.58,7.58,7.75,7.42,7.67,7.5,83.17,0.12,Bluish-Green,800,800,m,Washed / Wet,
